id,text,label
1,Finalize Q4 product roadmap [today],rock
2,Clear email spam,sand
3,Develop ML model for segmentation,rock
4,Update profile picture [this week],sand
5,Refactor core service API,rock
6,Organize bookmarks bar,sand
7,Write unit tests for components,pebble
8,Prepare investor pitch deck,rock
9,Clean old git branches,sand
10,Create migration script [ASAP],rock
11,Respond to Slack messages,pebble
12,Sort folders alphabetically,sand
13,Plan usability tests,rock
14,Format meeting notes,sand
15,Fix CSS bugs,pebble
16,Conduct market analysis,rock
17,Unsubscribe unused SaaS,sand
18,Compile frontend libraries,pebble
19,Create Jira tickets,pebble
20,Update README files,pebble
21,This task is absolutely critical and must be completed immediately no matter what it takes even if requires working all night and weekend because the entire project depends on its successful implementation according to CEO directive,rock
22,Lead sprint planning,rock
23,Rename files,sand
24,Create test cases,pebble
25,Review strategic PRs,rock
26,Update Zoom background,sand
27,Organize team agenda,pebble
28,Optimize database queries,rock
29,Reorder to-do list,sand
30,Document architecture,rock
31,Conduct competitor analysis,rock
32,Refine user segmentation,rock
33,Implement error monitoring,pebble
34,Cleanup local storage,sand
35,zzzzzzzzz,sand
36,Create deployment pipeline,rock
37,Develop auth service,rock
38,Plan Q4 initiatives,rock
39,Respond to feedback,pebble
40,Delete old logs,sand
41,Design cloud infrastructure,rock
42,Build analytics dashboard,rock
43,Verify bug fixes,pebble
44,Archive completed tasks,sand
45,Create CI/CD pipeline,rock
46,Update dependencies,pebble
47,Organize project board,pebble
48,Backup local data,sand
49,Review pull requests,pebble
50,Optimize image assets,pebble
51,Refactor components,pebble
52,Test login flow,pebble
53,Update user guides,pebble
54,Add logging statements,pebble
55,Setup calendar events,sand
56,Install software updates,sand
57,Order office supplies,sand
58,Schedule vacation days,sand
59,Reply to emails,pebble
60,Set reminders,sand
61,Finalize architecture docs,rock
62,Conduct usability tests,rock
63,Prepare board presentation,rock
64,Develop forecasting model,rock
65,Implement cache layer,rock
66,Design REST endpoints,rock
67,Create load tests,rock
68,Document API specs,rock
69,Setup monitoring alerts,pebble
70,Triage reported issues,pebble
71,Update contact info,sand
72,Organize desktop files,sand
73,Clear browser cache,sand
74,Renew subscriptions,sand
75,Submit expense reports,sand
76,Book travel arrangements,sand
77,Coordinate team lunch,sand
78,Update passwords,sand
79,Test,pebble
80,Create,rock
81,Implement biometric auth,rock
82,Develop recommendation engine,rock
83,Design notification system,rock
84,Build data pipeline,rock
85,Optimize search algorithm,rock
86,Containerize applications,rock
87,Implement feature flags,rock
88,Setup A/B testing,rock
89,Create admin panel,rock
90,Document deployment process,pebble
91,Test payment gateway,pebble
92,Update error messages,pebble
93,Refactor CSS modules,pebble
94,Add tooltips,pebble
95,Verify accessibility,pebble
96,Internationalize strings,pebble
97,Create demo accounts,pebble
98,Benchmark performance,pebble
99,Write integration tests,pebble
100,Setup analytics tracking,pebble
101,Refactor legacy codebase,rock
102,Develop GraphQL API,rock
103,Implement rate limiting,rock
104,Design database schema,rock
105,Create migration scripts,rock
106,Optimize network requests,rock
107,Setup error tracking,pebble
108,Update documentation,pebble
109,Review security policies,pebble
110,Test edge cases,pebble
111,Cleanup unused variables,sand
112,Organize code comments,sand
113,Delete temporary files,sand
114,Rename variables,sand
115,Update license info,sand
116,Check spelling mistakes,pebble
117,Verify GDPR compliance,pebble
118,Add input validation,pebble
119,Test database backups,pebble
120,Monitor server health,pebble
121,Implement OAuth2 flow,rock
122,Design microservices,rock
123,Create Kubernetes configs,rock
124,Optimize SQL queries,rock
125,Setup CI/CD pipeline,rock
126,Implement caching strategy,rock
127,Document architecture decisions,rock
128,Conduct load testing,rock
129,Review API contracts,pebble
130,Update third-party libs,pebble
131,Test cross-browser compat,pebble
132,Verify mobile responsive,pebble
133,Cleanup CSS styles,pebble
134,Organize test suites,pebble
135,Delete unused branches,sand
136,Rename config files,sand
137,Update team photos,sand
138,Archive old projects,sand
139,Submit timesheets,sand
140,Book meeting rooms,sand
141,Implement SSO integration,rock
142,Design audit logging,rock
143,Create data warehouse,rock
144,Optimize Dockerfiles,rock
145,Setup feature toggles,rock
146,Implement circuit breakers,rock
147,Document onboarding process,pebble
148,Update style guide,pebble
149,Test API endpoints,pebble
150,Verify test coverage,pebble
151,Cleanup test data,sand
152,Organize email folders,sand
153,Delete duplicate files,sand
154,Rename database tables,sand
155,Update company logo,sand
156,Check broken links,pebble
157,Verify content security,pebble
158,Add performance metrics,pebble
159,Test failover scenarios,pebble
160,Monitor error rates,pebble
161,Implement dark mode,rock
162,Design component library,rock
163,Create design system,rock
164,Optimize build process,rock
165,Setup monitoring dashboards,rock
166,Implement analytics events,rock
167,Document coding standards,pebble
168,Update READMEs,pebble
169,Test localization,pebble
170,Verify color contrast,pebble
171,Cleanup unused routes,sand
172,Organize shared drives,sand
173,Delete old emails,sand
174,Rename API endpoints,sand
175,Update team bios,sand
176,Review privacy policy,pebble
177,Verify data retention,pebble
178,Add error boundaries,pebble
179,Test backup restore,pebble
180,Monitor memory usage,pebble
181,Implement websockets,rock
182,Design state management,rock
183,Create prototype,rock
184,Optimize images,pebble
185,Setup error reporting,pebble
186,Implement feature tours,pebble
187,Document troubleshooting,pebble
188,Update dependencies list,pebble
189,Test accessibility,pebble
190,Verify form validation,pebble
191,Cleanup console logs,sand
192,Organize bookmarks,sand
193,Delete old backups,sand
194,Rename environment vars,sand
195,Update help docs,sand
196,Check license compliance,pebble
197,Verify encryption standards,pebble
198,Add analytics tags,pebble
199,Test performance budget,pebble
200,Monitor API latency,pebble
201,Implement payment processing,rock
202,Design checkout flow,rock
203,Create admin dashboard,rock
204,Optimize bundler config,rock
205,Setup feature flags,rock
206,Implement A/B testing,rock
207,Document release process,pebble
208,Update changelog,pebble
209,Test email templates,pebble
210,Verify mobile navigation,pebble
211,Cleanup test accounts,sand
212,Organize cloud storage,sand
213,Delete old containers,sand
214,Rename test cases,sand
215,Update office layout,sand
216,Review terms of service,pebble
217,Verify cookie consent,pebble
218,Add loading states,pebble
219,Test search functionality,pebble
220,Monitor user sessions,pebble
221,Implement push notifications,rock
222,Design data model,rock
223,Create ETL pipeline,rock
224,Optimize state transitions,rock
225,Setup logging framework,rock
226,Implement feature gating,rock
227,Document API usage,pebble
228,Update contribution guide,pebble
229,Test notification system,pebble
230,Verify image optimization,pebble
231,Cleanup unused styles,sand
232,Organize node modules,sand
233,Delete old snapshots,sand
234,Rename pull requests,sand
235,Update team calendar,sand
236,Check security headers,pebble
237,Verify session timeout,pebble
238,Add keyboard shortcuts,pebble
239,Test payment methods,pebble
240,Monitor conversion rates,pebble
241,Implement geofencing,rock
242,Design cache invalidation,rock
243,Create mock services,rock
244,Optimize database indexes,rock
245,Setup performance tracing,rock
246,Implement rate limiting,rock
247,Document deployment checklist,pebble
248,Update error handling,pebble
249,Test video playback,pebble
250,Verify PDF generation,pebble
251,Cleanup test coverage,sand
252,Organize test reports,sand
253,Delete old artifacts,sand
254,Rename feature branches,sand
255,Update org chart,sand
256,Review accessibility report,pebble
257,Verify password hashing,pebble
258,Add progress indicators,pebble
259,Test file uploads,pebble
260,Monitor error budgets,pebble
261,Implement data export,rock
262,Design permission system,rock
263,Create audit trail,rock
264,Optimize memory usage,rock
265,Setup feature validation,rock
266,Implement content moderation,rock
267,Document rollback process,pebble
268,Update status page,pebble
269,Test search relevance,pebble
270,Verify cache headers,pebble
271,Cleanup unused hooks,sand
272,Organize test data,sand
273,Delete old logs,sand
274,Rename test suites,sand
275,Update meeting agenda,sand
276,Check CORS settings,pebble
277,Verify CSRF protection,pebble
278,Add dark mode toggle,pebble
279,Test payment refunds,pebble
280,Monitor API limits,pebble
281,Implement data import,rock
282,Design file storage,rock
283,Create backup strategy,rock
284,Optimize network calls,rock
285,Setup usage analytics,rock
286,Implement feature discovery,rock
287,Document incident response,pebble
288,Update support docs,pebble
289,Test language switching,pebble
290,Verify error messages,pebble
291,Cleanup unused configs,sand
292,Organize test runners,sand
293,Delete old databases,sand
294,Rename API versions,sand
295,Update team photos,sand
296,Review security scan,pebble
297,Verify data masking,pebble
298,Add help tooltips,pebble
299,Test notification sounds,pebble
300,Monitor uptime SLA,pebble
301,Implement data sync,rock
302,Design API gateway,rock
303,Create load balancer,rock
304,Optimize DNS settings,rock
305,Setup feature verification,rock
306,Implement audit logging,rock
307,Document coding patterns,pebble
308,Update style variables,pebble
309,Test theme switching,pebble
310,Verify cache control,pebble
311,Cleanup unused fonts,sand
312,Organize test fixtures,sand
313,Delete old screenshots,sand
314,Rename API methods,sand
315,Update office map,sand
